category,split,chunk,shoulder_count,filenames
SHOULDER,multicoil_train,multicoil_train.tar.part-00018,12,meas_MID00355_FID126912_COR_T2_FS.h5;meas_MID00356_FID117856_ANGLE_SAG_T2_FS.h5;meas_MID00356_FID126913_COR_T1.h5;meas_MID00357_FID111856_OBL_SAG_T1_FULL.h5;meas_MID00357_FID126914_OBLIQUE_SAG_T1_CUFF.h5;meas_MID00359_FID125880_AX_PD_FS.h5;meas_MID00361_FID111860_AX_PD_FS.h5;meas_MID00361_FID125882_SAG_T2_FS.h5;meas_MID00361_FID126918_ANGLE_SAG_T2_FS.h5;meas_MID00363_FID111862_COR_T2_FS.h5;meas_MID00363_FID125884_SAG_T2_FS.h5;meas_MID00364_FID111863_COR_T1.h5
SHOULDER,multicoil_train,multicoil_train.tar.part-00019,12,meas_MID00372_FID125893_COR_T2_FS.h5;meas_MID00374_FID125895_COR_T1.h5;meas_MID00375_FID125896_OBLIQUE_SAG_T1_CUFF.h5;meas_MID00377_FID125898_ANGLE_SAG_T2_FS.h5;meas_MID00382_FID119183_AX_PD_FS.h5;meas_MID00382_FID132010_SAG_PD_FS.h5;meas_MID00384_FID119185_SAG_T2_FS.h5;meas_MID00384_FID132012_COR_T1.h5;meas_MID00386_FID119187_COR_T2_FS.h5;meas_MID00386_FID132014_COR_T2_FS.h5;meas_MID00387_FID119188_COR_T1.h5;meas_MID00396_FID119197_OBL_SAG_T1_FULL.h5
SHOULDER,multicoil_test,multicoil_test.tar.part-00003,11,meas_MID00091_FID121859_COR_T1.h5;meas_MID00314_FID127363_SAG_PD_FS.h5;meas_MID00231_FID118562_AX_T1_FS.h5;meas_MID00316_FID127365_COR_T1.h5;meas_MID00603_FID124539_AX_PD_FS.h5;meas_MID00589_FID124525_OBL_SAG_T1_FULL.h5;meas_MID00577_FID124513_SAG_T2_FS.h5;meas_MID00281_FID134935_COR_T2_FS.h5;meas_MID00620_FID124556_ANGLE_SAG_T2_FS.h5;meas_MID00580_FID124516_COR_T1.h5;meas_MID00277_FID115789_COR_T2_FS.h5
SHOULDER,multicoil_train,multicoil_train.tar.part-00000,11,meas_MID00029_FID111528_AX_PD_FS.h5;meas_MID00029_FID130099_AX_PD_FS.h5;meas_MID00031_FID111530_SAG_T2_FS.h5;meas_MID00033_FID111532_COR_T2_FS.h5;meas_MID00033_FID130103_COR_T2_FS.h5;meas_MID00034_FID111533_COR_T1.h5;meas_MID00034_FID130104_COR_T1.h5;meas_MID00035_FID130105_OBLIQUE_SAG_T1_CUFF.h5;meas_MID00036_FID111535_AX_PD_FS.h5;meas_MID00037_FID130107_ANGLE_SAG_T2_FS.h5;meas_MID00043_FID111542_OBLIQUE_SAG_T1_CUFF.h5
SHOULDER,multicoil_train,multicoil_train.tar.part-00017,11,meas_MID00341_FID111840_AX_PD_FS.h5;meas_MID00345_FID111844_SAG_T2_FS.h5;meas_MID00347_FID111846_COR_T2_FS.h5;meas_MID00348_FID111847_COR_T1.h5;meas_MID00348_FID117848_AX_PD_FS.h5;meas_MID00350_FID117850_SAG_T2_FS.h5;meas_MID00351_FID126908_AX_PD_FS.h5;meas_MID00352_FID117852_COR_T2_FS.h5;meas_MID00353_FID117853_COR_T1.h5;meas_MID00353_FID126910_SAG_T2_FS.h5;meas_MID00354_FID117854_OBLIQUE_SAG_T1_CUFF.h5
SHOULDER,multicoil_val,multicoil_val.tar.part-00004,11,meas_MID00140_FID113110_AX_PD_FS.h5;meas_MID00172_FID128680_AX_T1.h5;meas_MID00283_FID116754_AX_PD_FS.h5;meas_MID00030_FID127079_SAG_T2_FS.h5;meas_MID00108_FID115059_COR_T1.h5;meas_MID00297_FID116294_SAG_T2_FS.h5;meas_MID00332_FID129292_COR_T2_FS.h5;meas_MID00104_FID115055_OBL_SAG_T1_FULL.h5;meas_MID00041_FID127090_SAG_DBL_OBL_T2_FS.h5;meas_MID00163_FID128671_AX_PD_FS.h5;meas_MID00317_FID129277_AX_T1_FS.h5
SHOULDER,multicoil_train,multicoil_train.tar.part-00009,9,meas_MID00217_FID113688_COR_T2_FS.h5;meas_MID00217_FID114261_SAG_PD_FS.h5;meas_MID00219_FID113690_COR_T1.h5;meas_MID00219_FID114263_COR_T1.h5;meas_MID00221_FID113692_COR_T2_FS_AC.h5;meas_MID00221_FID114265_COR_T2_FS.h5;meas_MID00223_FID113694_COR_T1_AC.h5;meas_MID00224_FID113695_OBLIQUE_SAG_T1_CUFF.h5;meas_MID00226_FID113697_ANGLE_SAG_T2_FS.h5
SHOULDER,multicoil_val,multicoil_val.tar.part-00005,9,meas_MID00144_FID113114_COR_T2_FS.h5;meas_MID00142_FID113112_SAG_T2_FS.h5;meas_MID00053_FID121821_AX_PD_FS.h5;meas_MID00037_FID127086_OBL_SAG_T1_FULL.h5;meas_MID00391_FID129351_COR_T1.h5;meas_MID00297_FID116768_OBL_SAG_T1_FULL.h5;meas_MID00342_FID131970_COR_T1.h5;meas_MID00302_FID116299_COR_T2_FS.h5;meas_MID00154_FID113124_OBL_SAG_T1_FULL.h5
SHOULDER,multicoil_test,multicoil_test.tar.part-00001,8,meas_MID00279_FID115791_OBLIQUE_SAG_T1_CUFF.h5;meas_MID00294_FID134948_COR_T1.h5;meas_MID00324_FID127373_COR_T1_FS.h5;meas_MID00056_FID117954_COR_T1.h5;meas_MID00237_FID118568_COR_T1_FS.h5;meas_MID00274_FID134390_SAG_PD_FS.h5;meas_MID00388_FID121084_OBLIQUE_SAG_T1_CUFF.h5;meas_MID00045_FID117943_AX_PD_FS.h5
SHOULDER,multicoil_train,multicoil_train.tar.part-00011,8,meas_MID00241_FID127290_OBL_SAG_T1_FULL.h5;meas_MID00243_FID127292_SAG_DBL_OBL_T2_FS.h5;meas_MID00245_FID123611_AX_PD_FS.h5;meas_MID00247_FID123613_SAG_T2_FS.h5;meas_MID00248_FID132441_AX_PD_FS.h5;meas_MID00250_FID132443_SAG_T2_FS.h5;meas_MID00253_FID123619_COR_T2_FS.h5;meas_MID00253_FID132446_COR_T1.h5
SHOULDER,multicoil_val,multicoil_val.tar.part-00000,8,meas_MID00382_FID129342_COR_T2_FS.h5;meas_MID00095_FID115046_COR_T2_FS.h5;meas_MID00058_FID132251_AX_PD_FS.h5;meas_MID00310_FID116307_OBLIQUE_SAG_T1_CUFF.h5;meas_MID00303_FID116300_COR_T1.h5;meas_MID00091_FID115042_SAG_T2_FS.h5;meas_MID00287_FID116758_COR_T2_FS.h5;meas_MID00169_FID128677_OBLIQUE_SAG_T1_CUFF.h5
SHOULDER,multicoil_val,multicoil_val.tar.part-00001,8,meas_MID00346_FID131974_SAG_PD_FS.h5;meas_MID00378_FID129338_AX_T1_FS.h5;meas_MID00145_FID113115_COR_T1.h5;meas_MID00321_FID129281_COR_T1.h5;meas_MID00312_FID116309_ANGLE_SAG_T2_FS.h5;meas_MID00025_FID127074_AX_PD_FS.h5;meas_MID00059_FID121827_COR_T2_FS.h5;meas_MID00380_FID129340_SAG_PD_FS.h5
SHOULDER,multicoil_val,multicoil_val.tar.part-00003,8,meas_MID00344_FID131972_COR_T1_FS.h5;meas_MID00072_FID132265_COR_T2_FS.h5;meas_MID00295_FID116292_AX_PD_FS.h5;meas_MID00083_FID132276_OBL_SAG_T1_FULL.h5;meas_MID00061_FID121829_COR_T1.h5;meas_MID00168_FID128676_COR_T1.h5;meas_MID00337_FID131965_COR_T2_FS.h5;meas_MID00393_FID129353_COR_T1_FS.h5
SHOULDER,multicoil_test,multicoil_test.tar.part-00000,7,meas_MID00615_FID124551_OBLIQUE_SAG_T1_CUFF.h5;meas_MID00579_FID124515_COR_T2_FS.h5;meas_MID00054_FID117952_OBL_SAG_T1_FULL.h5;meas_MID00273_FID115785_AX_PD_FS.h5;meas_MID00382_FID121078_AX_PD_FS.h5;meas_MID00272_FID134388_AX_T1_FS.h5;meas_MID00605_FID124541_SAG_T2_FS.h5
SHOULDER,multicoil_test,multicoil_test.tar.part-00005,7,meas_MID00084_FID121852_AX_PD_FS.h5;meas_MID00200_FID116197_SAG_PD_FS.h5;meas_MID00575_FID124511_AX_PD_FS.h5;meas_MID00208_FID116205_COR_T1.h5;meas_MID00086_FID121854_SAG_T2_FS.h5;meas_MID00607_FID124543_COR_T2_FS.h5;meas_MID00244_FID118575_COR_T2_FS.h5
SHOULDER,multicoil_train,multicoil_train.tar.part-00008,7,meas_MID00196_FID121964_SAG_T2_FS.h5;meas_MID00198_FID121966_COR_T2_FS.h5;meas_MID00199_FID121967_COR_T1.h5;meas_MID00201_FID121969_OBLIQUE_SAG_T1_CUFF.h5;meas_MID00203_FID121971_ANGLE_SAG_T2_FS.h5;meas_MID00206_FID113677_AX_PD_FS.h5;meas_MID00208_FID113679_SAG_T2_FS.h5
SHOULDER,multicoil_train,multicoil_train.tar.part-00012,7,meas_MID00254_FID123620_COR_T1.h5;meas_MID00255_FID123621_OBLIQUE_SAG_T1_CUFF.h5;meas_MID00257_FID123623_COR_T2_FS_AC.h5;meas_MID00258_FID123624_COR_T1_AC.h5;meas_MID00259_FID111758_SAG_PD_FS.h5;meas_MID00260_FID132453_OBLIQUE_SAG_T1_CUFF.h5;meas_MID00262_FID132455_ANGLE_SAG_T2_FS.h5
SHOULDER,multicoil_train,multicoil_train.tar.part-00001,6,meas_MID00047_FID111546_ANGLE_SAG_T2_FS.h5;meas_MID00049_FID130119_AX_PD_FS.h5;meas_MID00053_FID130123_COR_T2_FS.h5;meas_MID00054_FID130124_COR_T1.h5;meas_MID00055_FID130125_OBLIQUE_SAG_T1_CUFF.h5;meas_MID00066_FID113537_AX_PD_FS.h5
SHOULDER,multicoil_train,multicoil_train.tar.part-00004,6,meas_MID00110_FID121392_ANGLE_SAG_T2_FS.h5;meas_MID00110_FID134764_COR_T1.h5;meas_MID00114_FID121396_AC_JOINT_COR_T2_FS.h5;meas_MID00115_FID120811_SAG_PD_FS.h5;meas_MID00115_FID121397_AC_JOINT_COR_T1.h5;meas_MID00117_FID120813_COR_T1.h5
SHOULDER,multicoil_train,multicoil_train.tar.part-00015,6,meas_MID00295_FID113265_SAG_STIR_WARP.h5;meas_MID00301_FID118199_COR_T2_FS.h5;meas_MID00304_FID132497_AX_PD_FS.h5;meas_MID00306_FID132499_SAG_T2_FS.h5;meas_MID00310_FID132503_COR_T2_FS.h5;meas_MID00311_FID132504_COR_T1.h5
SHOULDER,multicoil_train,multicoil_train.tar.part-00022,6,meas_MID00434_FID132627_SAG_T2_FS.h5;meas_MID00438_FID132631_COR_T2_FS.h5;meas_MID00440_FID132633_OBL_SAG_T1_FULL.h5;meas_MID00442_FID132635_SAG_DBL_OBL_T2_FS.h5;meas_MID00444_FID132637_COR_T1.h5;meas_MID00446_FID132639_COR_T2_FS.h5
SHOULDER,multicoil_val,multicoil_val.tar.part-00002,6,meas_MID00087_FID115038_AX_PD_FS.h5;meas_MID00033_FID127082_COR_T1.h5;meas_MID00057_FID121825_SAG_T2_FS.h5;meas_MID00335_FID131963_AX_T1_FS.h5;meas_MID00330_FID129290_COR_T1_FS.h5;meas_MID00167_FID128675_COR_T2_FS.h5
SHOULDER,multicoil_train,multicoil_train.tar.part-00002,5,meas_MID00068_FID113539_SAG_T2_FS.h5;meas_MID00070_FID113541_COR_T2_FS.h5;meas_MID00071_FID113542_COR_T1.h5;meas_MID00079_FID113550_OBLIQUE_SAG_T1_CUFF.h5;meas_MID00081_FID113552_ANGLE_SAG_T2_FS.h5
SHOULDER,multicoil_train,multicoil_train.tar.part-00021,5,meas_MID00416_FID132044_COR_T2_FS.h5;meas_MID00423_FID132051_COR_T1.h5;meas_MID00424_FID132052_COR_T1.h5;meas_MID00428_FID132056_SAG_PD_FS.h5;meas_MID00432_FID132625_AX_PD_FS.h5
SHOULDER,multicoil_val,multicoil_val.tar.part-00006,5,meas_MID00319_FID129279_SAG_PD_FS.h5;meas_MID00288_FID116759_COR_T1.h5;meas_MID00070_FID121838_OBL_SAG_T1_FULL.h5;meas_MID00074_FID132267_COR_T1.h5;meas_MID00174_FID128682_ANGLE_SAG_T2_FS.h5
SHOULDER,multicoil_train,multicoil_train.tar.part-00010,4,meas_MID00229_FID127278_AX_PD_FS.h5;meas_MID00234_FID127283_SAG_T2_FS.h5;meas_MID00236_FID127285_COR_T2_FS.h5;meas_MID00239_FID127288_COR_T1.h5
SHOULDER,multicoil_train,multicoil_train.tar.part-00016,2,meas_MID00320_FID132513_OBL_SAG_T1_FULL.h5;meas_MID00322_FID132515_SAG_DBL_OBL_T2_FS.h5
SHOULDER,multicoil_train,multicoil_train.tar.part-00020,1,meas_MID00398_FID119199_SAG_DBL_OBL_T2_FS.h5
