category,split,chunk,foot_count,filenames
FOOT,multicoil_train,multicoil_train.tar.part-00012,3,meas_MID00255_FID125776_AX_PD_FS.h5;meas_MID00257_FID125778_COR_T2_FS_PROX_DIST.h5;meas_MID00259_FID125780_COR_T2_FS_PROX_DIST.h5
FOOT,multicoil_test,multicoil_test.tar.part-00001,2,meas_MID00343_FID116814_SAG_T1_FS_POST.h5;meas_MID00337_FID116808_COR_T1_PRE.h5
FOOT,multicoil_test,multicoil_test.tar.part-00002,2,meas_MID00319_FID116790_AX_PD_FS.h5;meas_MID00339_FID116810_COR_T1_FS_POST.h5
FOOT,multicoil_test,multicoil_test.tar.part-00004,2,meas_MID00314_FID116785_SAG_STIR.h5;meas_MID00321_FID116792_COR_T2_FS_PROX_DIST.h5
FOOT,multicoil_test,multicoil_test.tar.part-00005,2,meas_MID00317_FID116788_SAG_T1.h5;meas_MID00323_FID116794_COR_T2_FS_PROX_DIST.h5
FOOT,multicoil_train,multicoil_train.tar.part-00002,2,meas_MID00084_FID126641_SAG_STIR.h5;meas_MID00087_FID126644_SAG_T1.h5
FOOT,multicoil_train,multicoil_train.tar.part-00010,2,meas_MID00227_FID123593_COR_T1.h5;meas_MID00233_FID123599_COR_T1.h5
FOOT,multicoil_train,multicoil_train.tar.part-00011,2,meas_MID00251_FID125772_SAG_STIR.h5;meas_MID00253_FID125774_SAG_T1.h5
FOOT,multicoil_train,multicoil_train.tar.part-00013,2,meas_MID00267_FID125788_COR_T1.h5;meas_MID00273_FID125794_COR_T1.h5
FOOT,multicoil_val,multicoil_val.tar.part-00004,2,meas_MID00385_FID122153_SAG_STIR.h5;meas_MID00387_FID122155_COR_T2_FS_PROX_DIST.h5
FOOT,multicoil_test,multicoil_test.tar.part-00000,1,meas_MID00341_FID116812_COR_T1_FS_POST.h5
FOOT,multicoil_test,multicoil_test.tar.part-00003,1,meas_MID00331_FID116802_COR_T1_PRE.h5
FOOT,multicoil_train,multicoil_train.tar.part-00000,1,meas_MID00043_FID112020_SAG_T1.h5
FOOT,multicoil_val,multicoil_val.tar.part-00001,1,meas_MID00417_FID122185_COR_T1_FS_POST.h5
FOOT,multicoil_val,multicoil_val.tar.part-00002,1,meas_MID00398_FID122166_COR_T1_PRE.h5
FOOT,multicoil_val,multicoil_val.tar.part-00003,1,meas_MID00382_FID122150_AX_PD_FS.h5
FOOT,multicoil_val,multicoil_val.tar.part-00005,1,meas_MID00401_FID122169_AX_T1_PRE.h5
