category,split,chunk,knee_count,filenames
KNEE,multicoil_val,multicoil_val.tar.part-00000,13,meas_MID00141_FID110574_SAG_PD.h5;meas_MID00352_FID129312_SAG_T2_FS.h5;meas_MID00494_FID130069_COR_PD_FS.h5;meas_MID00345_FID129305_COR_PD_FS.h5;meas_MID00223_FID134339_COR_PD_FS.h5;meas_MID00224_FID133869_COR_PD_FS_ACL.h5;meas_MID00414_FID114952_COR_T1.h5;meas_MID00220_FID133865_SAG_T2_FS.h5;meas_MID00121_FID110554_COR_T1.h5;meas_MID00120_FID132313_SAG_T2_FS.h5;meas_MID00222_FID133867_COR_T1.h5;meas_MID00140_FID110573_SAG_T2_FS.h5;meas_MID00225_FID134341_AX_PD_FS.h5
KNEE,multicoil_val,multicoil_val.tar.part-00003,13,meas_MID00119_FID110552_SAG_T2_FS.h5;meas_MID00121_FID132314_SAG_PD.h5;meas_MID00532_FID126543_COR_T1.h5;meas_MID00354_FID129314_COR_PD_FS_S_P_ACL_ANG_DIXON.h5;meas_MID00324_FID113795_COR_T1.h5;meas_MID00413_FID114951_SAG_PD.h5;meas_MID00117_FID132310_AX_PD_FS.h5;meas_MID00230_FID134346_COR_T1.h5;meas_MID00120_FID110553_SAG_PD.h5;meas_MID00228_FID134344_SAG_T2_FS.h5;meas_MID00115_FID132308_COR_PD_FS.h5;meas_MID00317_FID113788_COR_PD_FS.h5;meas_MID00530_FID126541_SAG_T2_FS.h5
KNEE,multicoil_test,multicoil_test.tar.part-00001,12,meas_MID00492_FID127049_AX_PD_FS.h5;meas_MID00047_FID118848_SAG_T2_FS.h5;meas_MID00284_FID126841_SAG_PD.h5;meas_MID00496_FID127053_SAG_PD.h5;meas_MID00048_FID118849_SAG_PD.h5;meas_MID00030_FID117530_AX_PD_FS.h5;meas_MID00024_FID125150_SAG_PD.h5;meas_MID00345_FID127394_COR_T1.h5;meas_MID00278_FID116275_AX_PD_FS.h5;meas_MID00027_FID125153_COR_PD_FS_ACL.h5;meas_MID00018_FID125144_COR_PD_FS.h5;meas_MID00533_FID110966_COR_PD_FS.h5
KNEE,multicoil_train,multicoil_train.tar.part-00011,11,meas_MID00242_FID119043_SAG_PD.h5;meas_MID00243_FID114287_SAG_T2_FS.h5;meas_MID00243_FID119044_COR_T1.h5;meas_MID00244_FID114288_SAG_PD.h5;meas_MID00245_FID114289_COR_T1.h5;meas_MID00245_FID117745_COR_PD_FS.h5;meas_MID00247_FID114291_AX_T1.h5;meas_MID00247_FID117747_AX_PD_FS.h5;meas_MID00250_FID117750_SAG_T2_FS.h5;meas_MID00251_FID117751_SAG_PD.h5;meas_MID00252_FID117752_COR_T1.h5
KNEE,multicoil_test,multicoil_test.tar.part-00004,10,meas_MID00344_FID127393_SAG_PD.h5;meas_MID00280_FID123646_AX_PD_FS.h5;meas_MID00034_FID117534_SAG_PD.h5;meas_MID00049_FID118850_COR_T1.h5;meas_MID00490_FID113961_SAG_T2_FS.h5;meas_MID00539_FID110972_SAG_T2_FS.h5;meas_MID00069_FID118870_COR_T1.h5;meas_MID00284_FID123650_SAG_PD.h5;meas_MID00064_FID118865_AX_PD_FS.h5;meas_MID00487_FID113958_AX_PD_FS.h5
KNEE,multicoil_train,multicoil_train.tar.part-00008,10,meas_MID00194_FID135310_SAG_T2_FS.h5;meas_MID00195_FID135311_COR_T1.h5;meas_MID00196_FID135312_SAG_PD.h5;meas_MID00198_FID114242_SAG_PD.h5;meas_MID00199_FID114243_COR_T1.h5;meas_MID00201_FID114245_AX_PD_FS.h5;meas_MID00203_FID121485_COR_PD_FS.h5;meas_MID00205_FID121487_AX_PD_FS.h5;meas_MID00208_FID121490_SAG_T2_FS.h5;meas_MID00209_FID121491_SAG_PD.h5
KNEE,multicoil_train,multicoil_train.tar.part-00024,10,meas_MID00483_FID115995_AX_PD_FS.h5;meas_MID00486_FID115998_SAG_T2_FS.h5;meas_MID00487_FID115999_SAG_PD.h5;meas_MID00488_FID116000_COR_T1.h5;meas_MID00490_FID116002_SAG_T2_FS.h5;meas_MID00507_FID126518_COR_PD_FS.h5;meas_MID00509_FID126520_AX_PD_FS.h5;meas_MID00512_FID126523_SAG_T2_FS.h5;meas_MID00513_FID126524_SAG_PD.h5;meas_MID00514_FID126525_COR_T1.h5
KNEE,multicoil_train,multicoil_train.tar.part-00006,9,meas_MID00164_FID121932_COR_PD_FS.h5;meas_MID00164_FID133809_AX_PD_FS.h5;meas_MID00166_FID121934_AX_PD_FS.h5;meas_MID00168_FID133813_SAG_PD.h5;meas_MID00169_FID121937_SAG_T2_FS.h5;meas_MID00169_FID133814_COR_T1.h5;meas_MID00170_FID121938_SAG_PD.h5;meas_MID00171_FID121939_COR_T1.h5;meas_MID00173_FID121941_COR_PD_FS_ACL.h5
KNEE,multicoil_train,multicoil_train.tar.part-00010,9,meas_MID00233_FID129193_AX_PD_FS.h5;meas_MID00235_FID129195_COR_PD_FS.h5;meas_MID00236_FID119037_COR_PD_FS.h5;meas_MID00238_FID119039_AX_PD_FS.h5;meas_MID00238_FID129198_SAG_T2_FS.h5;meas_MID00239_FID129199_SAG_PD.h5;meas_MID00240_FID114284_AX_PD_FS.h5;meas_MID00240_FID129200_COR_T1.h5;meas_MID00241_FID119042_SAG_T2_FS.h5
KNEE,multicoil_val,multicoil_val.tar.part-00004,9,meas_MID00495_FID130070_COR_T1.h5;meas_MID00142_FID110575_COR_T1.h5;meas_MID00215_FID133860_COR_PD_FS.h5;meas_MID00497_FID130072_AX_PD_FS.h5;meas_MID00114_FID110547_COR_PD_FS.h5;meas_MID00268_FID110701_COR_PD_FS_ACL.h5;meas_MID00326_FID113797_COR_PD_FS_ACL.h5;meas_MID00527_FID126538_AX_PD_FS.h5;meas_MID00531_FID126542_SAG_PD.h5
KNEE,multicoil_test,multicoil_test.tar.part-00005,8,meas_MID00508_FID111476_COR_PD_FS.h5;meas_MID00285_FID123651_COR_T1.h5;meas_MID00282_FID116279_SAG_PD.h5;meas_MID00492_FID113963_COR_T1.h5;meas_MID00540_FID110973_SAG_PD.h5;meas_MID00372_FID128880_COR_T1.h5;meas_MID00068_FID118869_SAG_PD.h5;meas_MID00283_FID123649_SAG_T2_FS.h5
KNEE,multicoil_train,multicoil_train.tar.part-00019,8,meas_MID00371_FID118702_SAG_PD.h5;meas_MID00371_FID130441_SAG_T2_FS.h5;meas_MID00372_FID118703_COR_T1.h5;meas_MID00372_FID130442_SAG_PD.h5;meas_MID00373_FID130443_COR_T1.h5;meas_MID00374_FID118705_COR_PD_FS_ACL.h5;meas_MID00394_FID120630_AX_PD_FS.h5;meas_MID00397_FID120633_SAG_T2_FS.h5
KNEE,multicoil_train,multicoil_train.tar.part-00025,7,meas_MID00543_FID126554_COR_PD_FS.h5;meas_MID00545_FID126556_AX_PD_FS.h5;meas_MID00549_FID126560_SAG_T2_FS.h5;meas_MID00550_FID126561_SAG_PD.h5;meas_MID00551_FID126562_COR_T1.h5;meas_MID00571_FID114042_COR_PD_FS.h5;meas_MID00573_FID114044_AX_PD_FS.h5
KNEE,multicoil_val,multicoil_val.tar.part-00002,7,meas_MID00135_FID110568_COR_PD_FS.h5;meas_MID00221_FID133866_SAG_PD.h5;meas_MID00407_FID114945_COR_PD_FS.h5;meas_MID00416_FID114954_COR_PD_FS_ACL.h5;meas_MID00217_FID133862_AX_PD_FS.h5;meas_MID00265_FID110698_SAG_PD.h5;meas_MID00144_FID110577_COR_PD_FS_ACL.h5
KNEE,multicoil_test,multicoil_test.tar.part-00002,6,meas_MID00380_FID116851_COR_T1.h5;meas_MID00280_FID126837_AX_PD_FS.h5;meas_MID00377_FID120613_SAG_T2_FS.h5;meas_MID00375_FID116846_AX_PD_FS.h5;meas_MID00286_FID126843_COR_T1.h5;meas_MID00340_FID127389_AX_PD_FS.h5
KNEE,multicoil_train,multicoil_train.tar.part-00001,6,meas_MID00044_FID126601_AX_PD_FS.h5;meas_MID00047_FID126604_SAG_T2_FS.h5;meas_MID00048_FID126605_SAG_PD.h5;meas_MID00050_FID126607_COR_T1.h5;meas_MID00061_FID126618_COR_PD_FS.h5;meas_MID00063_FID126620_AX_PD_FS.h5
KNEE,multicoil_train,multicoil_train.tar.part-00012,6,meas_MID00256_FID121538_COR_PD_FS.h5;meas_MID00258_FID121540_AX_PD_FS.h5;meas_MID00258_FID129218_COR_PD_FS.h5;meas_MID00260_FID129220_AX_PD_FS.h5;meas_MID00261_FID121543_SAG_T2_FS.h5;meas_MID00262_FID121544_SAG_PD.h5
KNEE,multicoil_val,multicoil_val.tar.part-00005,6,meas_MID00499_FID130074_SAG_T2_FS.h5;meas_MID00260_FID110693_AX_PD_FS.h5;meas_MID00346_FID129306_AX_STIR_WARP.h5;meas_MID00323_FID113794_SAG_PD.h5;meas_MID00122_FID132315_COR_T1.h5;meas_MID00348_FID129308_SAG_PD_WARP.h5
KNEE,multicoil_test,multicoil_test.tar.part-00003,5,meas_MID00374_FID120610_AX_PD_FS.h5;meas_MID00283_FID116280_COR_T1.h5;meas_MID00491_FID113962_SAG_PD.h5;meas_MID00035_FID117535_COR_T1.h5;meas_MID00495_FID127052_SAG_T2_FS.h5
KNEE,multicoil_train,multicoil_train.tar.part-00013,5,meas_MID00263_FID121545_COR_T1.h5;meas_MID00263_FID129223_SAG_T2_FS.h5;meas_MID00264_FID129224_SAG_PD.h5;meas_MID00265_FID121547_COR_PD_FS_ACL.h5;meas_MID00265_FID129225_COR_T1.h5
KNEE,multicoil_train,multicoil_train.tar.part-00023,5,meas_MID00458_FID130528_SAG_T2_FS.h5;meas_MID00459_FID130529_SAG_PD.h5;meas_MID00460_FID130530_COR_T1.h5;meas_MID00478_FID110911_COR_PD_FS.h5;meas_MID00481_FID115993_COR_PD_FS.h5
KNEE,multicoil_val,multicoil_val.tar.part-00001,5,meas_MID00409_FID114947_AX_PD_FS.h5;meas_MID00412_FID114950_SAG_T2_FS.h5;meas_MID00319_FID113790_AX_PD_FS.h5;meas_MID00500_FID130075_SAG_PD.h5;meas_MID00263_FID110696_SAG_T2_FS.h5
KNEE,multicoil_train,multicoil_train.tar.part-00007,4,meas_MID00189_FID135305_COR_PD_FS.h5;meas_MID00191_FID135307_AX_PD_FS.h5;meas_MID00192_FID114236_COR_PD_FS.h5;meas_MID00194_FID114238_AX_PD_FS.h5
KNEE,multicoil_train,multicoil_train.tar.part-00016,4,meas_MID00323_FID116320_COR_PD_FS.h5;meas_MID00325_FID116322_AX_PD_FS.h5;meas_MID00329_FID116326_SAG_PD.h5;meas_MID00330_FID116327_COR_T1.h5
KNEE,multicoil_val,multicoil_val.tar.part-00006,4,meas_MID00229_FID134345_SAG_PD.h5;meas_MID00525_FID126536_COR_PD_FS.h5;meas_MID00226_FID133871_AX_PD_FS.h5;meas_MID00266_FID110699_COR_T1.h5
KNEE,multicoil_train,multicoil_train.tar.part-00026,3,meas_MID00576_FID114047_SAG_T2_FS.h5;meas_MID00577_FID114048_SAG_PD.h5;meas_MID00578_FID114049_COR_T1.h5
KNEE,multicoil_train,multicoil_train.tar.part-00014,2,meas_MID00290_FID111789_COR_PD_FS.h5;meas_MID00292_FID111791_AX_PD_FS.h5
KNEE,multicoil_train,multicoil_train.tar.part-00003,1,meas_MID00090_FID114134_AX_T1.h5
KNEE,multicoil_train,multicoil_train.tar.part-00004,1,meas_MID00133_FID129708_AX_PD_FS_WARP.h5
KNEE,multicoil_train,multicoil_train.tar.part-00009,1,meas_MID00210_FID121492_COR_T1.h5
