category,split,chunk,hip_count,filenames
HIP,multicoil_train,multicoil_train.tar.part-00001,6,meas_MID00048_FID117548_COR_STIR_WP.h5;meas_MID00049_FID117549_COR_T1_WP.h5;meas_MID00054_FID113525_AX_T1.h5;meas_MID00054_FID117554_LT_SAG_PD_FS.h5;meas_MID00056_FID117556_LT_COR_T2_TSE_FS.h5;meas_MID00058_FID117558_LT_AX_PD_FS_UNI.h5
HIP,multicoil_train,multicoil_train.tar.part-00009,6,meas_MID00217_FID131845_RT_SAG_PD_FS.h5;meas_MID00221_FID131849_RT_AX_PD_FS_UNI.h5;meas_MID00225_FID111724_RT_SAG_PD_FS.h5;meas_MID00225_FID131853_AX_PD_FS_WP.h5;meas_MID00226_FID120462_RT_COR_T2_TSE.h5;meas_MID00227_FID111726_RT_COR_T2_TSE_FS.h5
HIP,multicoil_train,multicoil_train.tar.part-00010,6,meas_MID00229_FID111728_AX_T1_WP.h5;meas_MID00229_FID120465_RT_SAG_PD_FS.h5;meas_MID00233_FID111732_AX_PD_FS_WP.h5;meas_MID00233_FID120469_AX_PD_FS_WP.h5;meas_MID00235_FID116232_AX_T1_WP.h5;meas_MID00237_FID116234_RT_COR_T2_TSE_FS.h5
HIP,multicoil_train,multicoil_train.tar.part-00015,6,meas_MID00293_FID121575_LT_AX_T2_WARP.h5;meas_MID00296_FID121578_LT_AX_STIR_WARP.h5;meas_MID00299_FID117799_LT_SAG_PD_FS.h5;meas_MID00299_FID121581_LT_COR_T2_WARP.h5;meas_MID00306_FID117806_AX_PD_FS_WP.h5;meas_MID00308_FID121004_LT_COR_T2_TSE_FS.h5
HIP,multicoil_train,multicoil_train.tar.part-00020,6,meas_MID00399_FID125920_RT_SAG_PD_FS.h5;meas_MID00401_FID118299_COR_T1_WP.h5;meas_MID00402_FID125923_RT_COR_T2_TSE_FS.h5;meas_MID00403_FID127452_COR_T1_WP.h5;meas_MID00404_FID125925_RT_AX_PD_FS_UNI.h5;meas_MID00412_FID127461_LT_SAG_PD_FS.h5
HIP,multicoil_val,multicoil_val.tar.part-00001,6,meas_MID00408_FID110841_AX_PD_FS_WP.h5;meas_MID00268_FID133913_COR_T1_WP.h5;meas_MID00276_FID133921_RT_SAG_PD_FS.h5;meas_MID00407_FID115358_RT_SAG_PD_FS.h5;meas_MID00571_FID121267_LT_AX_PD_FS_UNI.h5;meas_MID00303_FID133948_SAG_PD_FS_SYM_PUB.h5
HIP,multicoil_val,multicoil_val.tar.part-00004,6,meas_MID00510_FID121206_LT_SAG_PD_FS.h5;meas_MID00504_FID121200_COR_T1_WP.h5;meas_MID00301_FID133946_SAG_PD_FS_SYM_PUB.h5;meas_MID00412_FID115363_AX_PD_FS_WP.h5;meas_MID00018_FID123954_COR_T1_WP.h5;meas_MID00213_FID134867_AX_PD_FS_WP.h5
HIP,multicoil_test,multicoil_test.tar.part-00004,5,meas_MID00265_FID134919_LT_COR_T2_TSE_FS.h5;meas_MID00430_FID128938_RT_AX_PD_FS_UNI.h5;meas_MID00428_FID128936_RT_COR_T2_TSE_FS.h5;meas_MID00236_FID134890_COR_T1_WP.h5;meas_MID00167_FID134283_RT_SAG_PD_FS.h5
HIP,multicoil_train,multicoil_train.tar.part-00021,5,meas_MID00414_FID127463_LT_AX_PD_FS_UNI.h5;meas_MID00417_FID127466_LT_COR_T2_TSE_FS.h5;meas_MID00425_FID118323_COR_T1_WP.h5;meas_MID00429_FID118327_RT_SAG_PD_FS.h5;meas_MID00431_FID118329_RT_COR_T2_TSE_FS.h5
HIP,multicoil_train,multicoil_train.tar.part-00025,5,meas_MID00533_FID133650_LT_AX_PD_FS_UNI.h5;meas_MID00536_FID124472_RT_COR_T2_TSE.h5;meas_MID00538_FID124474_RT_SAG_PD_FS.h5;meas_MID00551_FID124487_AX_PD_FS_WP.h5;meas_MID00554_FID129514_LT_COR_T2_TSE_FS.h5
HIP,multicoil_val,multicoil_val.tar.part-00003,5,meas_MID00514_FID121210_LT_AX_PD_FS_UNI.h5;meas_MID00207_FID134861_LT_SAG_PD_FS.h5;meas_MID00284_FID133929_AX_OBL_T2_FS.h5;meas_MID00023_FID123959_LT_SAG_PD_FS.h5;meas_MID00293_FID133938_RT_COR_T2_TSE_FS.h5
HIP,multicoil_val,multicoil_val.tar.part-00005,5,meas_MID00569_FID121265_LT_COR_T2_TSE_FS.h5;meas_MID00376_FID110809_COR_T1_WP.h5;meas_MID00017_FID123953_COR_STIR_WP.h5;meas_MID00037_FID123973_LT_AX_PD_FS_UNI.h5;meas_MID00291_FID133936_RT_AX_PD_FS_UNI.h5
HIP,multicoil_train,multicoil_train.tar.part-00023,4,meas_MID00462_FID113933_RT_SAG_PD_FS.h5;meas_MID00463_FID117401_AX_PD__WP.h5;meas_MID00464_FID113935_RT_COR_T2_TSE_FS.h5;meas_MID00468_FID113939_RT_AX_PD_FS_UNI.h5
HIP,multicoil_test,multicoil_test.tar.part-00000,3,meas_MID00081_FID116552_LT_SAG_PD_FS.h5;meas_MID00064_FID125190_LT_SAG_PD_FS.h5;meas_MID00252_FID134906_LT_AX_PD_FS_UNI.h5
HIP,multicoil_test,multicoil_test.tar.part-00002,3,meas_MID00306_FID126863_COR_T1_WP.h5;meas_MID00221_FID116692_COR_T1_WP.h5;meas_MID00305_FID126862_COR_STIR_WP.h5
HIP,multicoil_train,multicoil_train.tar.part-00000,3,meas_MID00030_FID113501_COR_STIR_WP.h5;meas_MID00031_FID113502_COR_T1_WP.h5;meas_MID00035_FID113506_AX_PD_FS_WP.h5
HIP,multicoil_train,multicoil_train.tar.part-00007,3,meas_MID00175_FID111674_AX_PD_FS_WP.h5;meas_MID00175_FID130245_RT_AX_T1.h5;meas_MID00177_FID130247_RT_AX_PD_FS_UNI.h5
HIP,multicoil_train,multicoil_train.tar.part-00024,3,meas_MID00487_FID129447_LT_COR_T2_TSE.h5;meas_MID00502_FID129462_AX_PD_FS_WP.h5;meas_MID00518_FID124454_COR_STIR_wp.h5
HIP,multicoil_val,multicoil_val.tar.part-00002,3,meas_MID00579_FID121275_AX_PD_FS_WP.h5;meas_MID00400_FID115351_RT_COR_T2_TSE.h5;meas_MID00559_FID121255_COR_T1_WP.h5
HIP,multicoil_train,multicoil_train.tar.part-00002,2,meas_MID00089_FID110522_RT_AX_PD_FS_UNI.h5;meas_MID00090_FID110523_COR_T1_WP.h5
HIP,multicoil_train,multicoil_train.tar.part-00016,2,meas_MID00330_FID121026_LT_SAG_PD_FS.h5;meas_MID00332_FID121028_AX_T1_WP.h5
HIP,multicoil_train,multicoil_train.tar.part-00019,2,meas_MID00383_FID124934_AX_PD_KNEE.h5;meas_MID00393_FID125914_COR_T1_WP.h5
HIP,multicoil_train,multicoil_train.tar.part-00022,2,meas_MID00438_FID118336_RT_AX_PD_FS_UNI.h5;meas_MID00457_FID113928_COR_T1_WP.h5
HIP,multicoil_val,multicoil_val.tar.part-00000,2,meas_MID00305_FID133950_RT_COR_T2_TSE_FS.h5;meas_MID00286_FID133931_AX_OBL_PD_FS.h5
HIP,multicoil_test,multicoil_test.tar.part-00006,1,meas_MID00173_FID134289_AX_PD_FS_WP.h5
HIP,multicoil_train,multicoil_train.tar.part-00005,1,meas_MID00141_FID124077_RT_AX_PD_FS_UNI.h5
HIP,multicoil_train,multicoil_train.tar.part-00008,1,meas_MID00200_FID131828_RT_COR_T2_TSE.h5
HIP,multicoil_train,multicoil_train.tar.part-00018,1,meas_MID00361_FID124912_RT_COR_T2_TSE_FS.h5
HIP,multicoil_val,multicoil_val.tar.part-00006,1,meas_MID00200_FID134854_LT_COR_T2_TSE.h5
